Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 49,522,309, val samples: 2,494,517
model: 1.81M params
step  14900 | lr 2.97e-04 | loss 0.9283 pol 0.9163 rf 0.0597 acc 69.0% | 14 it/s
step  15000 | lr 2.97e-04 | loss 0.9202 pol 0.9093 rf 0.0543 acc 69.1% | 14 it/s
step  15100 | lr 2.97e-04 | loss 0.9369 pol 0.9252 rf 0.0588 acc 68.9% | 14 it/s
step  15200 | lr 2.97e-04 | loss 0.9598 pol 0.9476 rf 0.0613 acc 68.2% | 14 it/s
step  15300 | lr 2.97e-04 | loss 0.9422 pol 0.9300 rf 0.0613 acc 68.7% | 14 it/s
step  15400 | lr 2.97e-04 | loss 0.9192 pol 0.9050 rf 0.0712 acc 70.0% | 14 it/s
step  15500 | lr 2.97e-04 | loss 0.9392 pol 0.9257 rf 0.0674 acc 68.8% | 14 it/s
step  15600 | lr 2.97e-04 | loss 0.9408 pol 0.9273 rf 0.0677 acc 68.1% | 14 it/s
step  15700 | lr 2.96e-04 | loss 0.9518 pol 0.9377 rf 0.0704 acc 68.0% | 14 it/s
step  15800 | lr 2.96e-04 | loss 0.9533 pol 0.9394 rf 0.0693 acc 68.2% | 14 it/s
step  15900 | lr 2.96e-04 | loss 0.9238 pol 0.9124 rf 0.0572 acc 69.8% | 14 it/s
step  16000 | lr 2.96e-04 | loss 0.8956 pol 0.8858 rf 0.0488 acc 71.1% | 14 it/s
[eval] step 16000 val_loss 0.9563 val_acc 69.9%
step  16100 | lr 2.96e-04 | loss 0.9369 pol 0.9247 rf 0.0609 acc 68.9% | 14 it/s
step  16200 | lr 2.96e-04 | loss 0.9548 pol 0.9406 rf 0.0710 acc 67.5% | 14 it/s
step  16300 | lr 2.96e-04 | loss 0.9416 pol 0.9274 rf 0.0709 acc 68.1% | 14 it/s
step  16400 | lr 2.96e-04 | loss 0.9406 pol 0.9268 rf 0.0687 acc 68.1% | 14 it/s
step  16500 | lr 2.96e-04 | loss 0.9308 pol 0.9177 rf 0.0654 acc 68.7% | 14 it/s
step  16600 | lr 2.96e-04 | loss 0.9200 pol 0.9072 rf 0.0642 acc 69.0% | 14 it/s
step  16700 | lr 2.96e-04 | loss 0.8965 pol 0.8869 rf 0.0479 acc 70.9% | 14 it/s
step  16800 | lr 2.96e-04 | loss 0.8736 pol 0.8654 rf 0.0410 acc 71.7% | 14 it/s
step  16900 | lr 2.96e-04 | loss 0.9291 pol 0.9167 rf 0.0620 acc 69.0% | 14 it/s
step  17000 | lr 2.96e-04 | loss 0.9334 pol 0.9208 rf 0.0634 acc 68.3% | 14 it/s
step  17100 | lr 2.96e-04 | loss 0.9353 pol 0.9210 rf 0.0715 acc 69.7% | 14 it/s
step  17200 | lr 2.96e-04 | loss 0.9168 pol 0.9031 rf 0.0689 acc 70.1% | 14 it/s
step  17300 | lr 2.96e-04 | loss 0.9597 pol 0.9457 rf 0.0698 acc 67.7% | 14 it/s
step  17400 | lr 2.96e-04 | loss 0.9521 pol 0.9377 rf 0.0719 acc 67.7% | 14 it/s
step  17500 | lr 2.95e-04 | loss 0.9365 pol 0.9237 rf 0.0637 acc 69.1% | 14 it/s
step  17600 | lr 2.95e-04 | loss 0.9242 pol 0.9123 rf 0.0596 acc 69.4% | 14 it/s
step  17700 | lr 2.95e-04 | loss 0.9355 pol 0.9239 rf 0.0579 acc 68.4% | 14 it/s
step  17800 | lr 2.95e-04 | loss 0.9352 pol 0.9237 rf 0.0573 acc 68.4% | 14 it/s
step  17900 | lr 2.95e-04 | loss 0.9224 pol 0.9106 rf 0.0590 acc 70.2% | 14 it/s
step  18000 | lr 2.95e-04 | loss 0.9298 pol 0.9180 rf 0.0591 acc 69.9% | 14 it/s
[eval] step 18000 val_loss 0.9547 val_acc 70.1%
step  18100 | lr 2.95e-04 | loss 0.9453 pol 0.9336 rf 0.0588 acc 68.7% | 14 it/s
