Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 35,609,201, val samples: 2,090,714  (filter num_players=6, suit_permute=True)
model: 1.81M params
step   9900 | lr 2.97e-04 | loss 1.1076 pol 1.0998 rf 0.0778 acc 69.8% | 13 it/s
step  10000 | lr 2.97e-04 | loss 1.0982 pol 1.0895 rf 0.0861 acc 70.4% | 13 it/s
[eval] step 10000 val_loss 1.0903 val_acc 70.9%
  -> saved best (1.0903)
step  10100 | lr 2.97e-04 | loss 1.1003 pol 1.0924 rf 0.0795 acc 69.8% | 13 it/s
step  10200 | lr 2.96e-04 | loss 1.0981 pol 1.0908 rf 0.0726 acc 69.4% | 13 it/s
step  10300 | lr 2.96e-04 | loss 1.1027 pol 1.0957 rf 0.0699 acc 69.4% | 13 it/s
step  10400 | lr 2.96e-04 | loss 1.0861 pol 1.0808 rf 0.0536 acc 71.1% | 13 it/s
step  10500 | lr 2.96e-04 | loss 1.1069 pol 1.0999 rf 0.0693 acc 69.3% | 13 it/s
step  10600 | lr 2.96e-04 | loss 1.1109 pol 1.1032 rf 0.0769 acc 69.2% | 13 it/s
step  10700 | lr 2.96e-04 | loss 1.1017 pol 1.0942 rf 0.0747 acc 69.6% | 13 it/s
step  10800 | lr 2.96e-04 | loss 1.1014 pol 1.0939 rf 0.0756 acc 69.1% | 13 it/s
step  10900 | lr 2.96e-04 | loss 1.1147 pol 1.1070 rf 0.0772 acc 69.0% | 13 it/s
step  11000 | lr 2.96e-04 | loss 1.1030 pol 1.0957 rf 0.0730 acc 69.7% | 13 it/s
step  11100 | lr 2.96e-04 | loss 1.1138 pol 1.1069 rf 0.0692 acc 69.3% | 13 it/s
step  11200 | lr 2.96e-04 | loss 1.1205 pol 1.1135 rf 0.0693 acc 68.9% | 13 it/s
step  11300 | lr 2.95e-04 | loss 1.0997 pol 1.0905 rf 0.0915 acc 70.6% | 13 it/s
step  11400 | lr 2.95e-04 | loss 1.1110 pol 1.1031 rf 0.0794 acc 69.0% | 13 it/s
step  11500 | lr 2.95e-04 | loss 1.1113 pol 1.1029 rf 0.0834 acc 69.0% | 13 it/s
step  11600 | lr 2.95e-04 | loss 1.1088 pol 1.1015 rf 0.0728 acc 69.6% | 13 it/s
step  11700 | lr 2.95e-04 | loss 1.0905 pol 1.0850 rf 0.0550 acc 70.9% | 13 it/s
step  11800 | lr 2.95e-04 | loss 1.1047 pol 1.0980 rf 0.0678 acc 69.5% | 13 it/s
step  11900 | lr 2.95e-04 | loss 1.1158 pol 1.1077 rf 0.0803 acc 68.4% | 13 it/s
step  12000 | lr 2.95e-04 | loss 1.1031 pol 1.0955 rf 0.0760 acc 69.2% | 13 it/s
[eval] step 12000 val_loss 1.1605 val_acc 69.6%
step  12100 | lr 2.95e-04 | loss 1.0936 pol 1.0863 rf 0.0726 acc 69.7% | 13 it/s
step  12200 | lr 2.95e-04 | loss 1.0770 pol 1.0718 rf 0.0518 acc 71.5% | 13 it/s
step  12300 | lr 2.94e-04 | loss 1.0834 pol 1.0780 rf 0.0540 acc 71.2% | 13 it/s
step  12400 | lr 2.94e-04 | loss 1.1034 pol 1.0959 rf 0.0748 acc 69.1% | 13 it/s
step  12500 | lr 2.94e-04 | loss 1.0994 pol 1.0905 rf 0.0889 acc 70.9% | 13 it/s
step  12600 | lr 2.94e-04 | loss 1.1089 pol 1.1006 rf 0.0833 acc 69.3% | 13 it/s
step  12700 | lr 2.94e-04 | loss 1.1149 pol 1.1070 rf 0.0785 acc 69.1% | 13 it/s
step  12800 | lr 2.94e-04 | loss 1.1027 pol 1.0956 rf 0.0716 acc 69.7% | 13 it/s
step  12900 | lr 2.94e-04 | loss 1.1134 pol 1.1064 rf 0.0694 acc 68.7% | 13 it/s
step  13000 | lr 2.94e-04 | loss 1.1084 pol 1.1014 rf 0.0694 acc 70.0% | 13 it/s
step  13100 | lr 2.93e-04 | loss 1.1075 pol 1.1005 rf 0.0697 acc 70.0% | 13 it/s
step  13200 | lr 2.93e-04 | loss 1.1148 pol 1.1077 rf 0.0706 acc 69.5% | 13 it/s
step  13300 | lr 2.93e-04 | loss 1.1240 pol 1.1170 rf 0.0691 acc 68.7% | 13 it/s
step  13400 | lr 2.93e-04 | loss 1.1143 pol 1.1066 rf 0.0770 acc 69.4% | 13 it/s
